1,T67P542,TvBaseR1,480,CSE0000000,12111414,2018/4/3,2018/3/13
2,E6N2308,ElectronicDictionary67,750,CSE0000000,12110809,2018/3/12,2018/2/28
3,E9G8372,ExhaustFanD8,750,CSE0000000,11812628,2018/2/5,2018/3/2
4,M421X86,MultifunctionalT4,740,CSE0000000,11612519,2018/2/23,2018/3/3
5,SE17564,ServerBarebonesH4,500,CSE0000000,12111414,2018/2/19,2018/3/26
6,L17546O,LaptopDockingStation94,310,CSE0000001,12011919,2017/7/25,2017/7/10
7,D8150P6,DotMatrixPrinterK1,610,CSE0000001,11311100,2017/7/22,2017/8/7
8,HD86793,HumidifierY5,160,CSE0000001,12011919,2017/8/10,2017/8/15
9,P41857Y,PhysicalSecurityIsolation35,770,CSE0000001,11610329,2017/8/7,2017/9/1
10,HD86793,HumidifierF6,430,CSE0000001,11112326,2017/7/13,2017/8/26
11,SY73215,SteeringWheel71,1000,CSE0000001,11610803,2017/7/23,2017/8/19
12,H7143H9,HotPotJ2,430,CSE0000001,11110725,2017/7/18,2017/8/16
13,B239N58,BuildingIntercom75,130,CSE0000001,12012220,2017/8/19,2017/7/16
14,S2180L4,SerialCommunicationServerE9,1000,CSE0000001,11112911,2017/9/1,2017/7/23
15,C95F078,CasetteLibrary26,170,CSE0000001,12112727,2017/8/25,2017/8/14
16,MR92570,MicrophoneDigitalCompanionX4,600,CSE0000001,11710106,2017/7/13,2017/7/8
17,M9J6453,Mp437,300,CSE0000001,11211510,2017/8/13,2017/7/20
18,S5291W4,ServerPowerO3,770,CSE0000001,11910621,2017/8/17,2017/7/22
19,T35X601,ToiletSeatO7,690,CSE0000001,12212123,2017/8/2,2017/8/13
20,D7903R1,DiskArray57,780,CSE0000001,12111625,2017/8/12,2017/7/8
21,S86042Z,SecurityCameraY2,820,CSE0000001,12111906,2017/8/24,2017/9/3
22,S86042Z,SecurityCamera25,180,CSE0000001,11711710,2017/9/3,2017/8/19
23,C3752Y9,CameraBattery26,150,CSE0000002,11711701,2004/1/20,2004/1/18
24,HD86793,HumidifierE8,780,CSE0000002,11510201,2003/12/13,2003/12/26
25,H8713D4,HardDiskRecording82,40,CSE0000002,11810914,2003/12/2,2003/12/4
26,A35J746,AirConditioner27,750,CSE0000003,11612521,2018/5/31,2018/5/21
27,D56294N,DvrE9,580,CSE0000003,12110421,2018/5/11,2018/5/12
28,I41V392,InkCartridgeU4,190,CSE0000003,11212200,2018/6/21,2018/6/2
29,L7B6430,Laptop'SBatteryT2,900,CSE0000003,11411929,2018/5/28,2018/6/3
30,P1275R8,PrintServer18,1000,CSE0000003,11611508,2018/5/29,2018/5/9
31,P4052D1,PhotoBox60,50,CSE0000003,11911204,2018/6/18,2018/6/8
32,D8150P6,DotMatrixPrinter76,240,CSE0000003,11411929,2018/5/21,2018/6/10
33,P20O395,PedometerC2,130,CSE0000003,12012309,2018/5/14,2018/5/5
34,OP18549,OpticalTransceiver15,540,CSE0000003,11612521,2018/5/3,2018/6/6
35,FK39705,FlatFilm23,710,CSE0000003,11210120,2018/4/27,2018/6/18
36,H5684K7,HardDiskA7,10,CSE0000003,12211614,2018/6/6,2018/5/23
37,M79W815,MobilePhoneCarAccessories90,270,CSE0000004,11811426,2001/6/21,2001/6/22
38,T739U65,TapeDrivesG3,940,CSE0000004,11810625,2001/6/25,2001/6/29
39,D0Q2543,DesktopPc74,840,CSE0000004,11312521,2001/7/10,2001/6/14
40,HW53167,HomeTheater94,760,CSE0000004,11212008,2001/7/5,2001/6/3
41,C741G20,CardReader59,660,CSE0000004,11210622,2001/6/28,2001/6/25
42,T0E9518,Tester04,860,CSE0000005,11311906,2021/7/19,2021/6/19
43,P968H24,PowerSupply63,70,CSE0000005,11211002,2021/6/24,2021/5/28
44,W08294X,WashingMachine56,470,CSE0000005,11612024,2021/6/6,2021/7/3
45,G053V91,GameLightGunGamePeripheral93,80,CSE0000005,11312521,2021/6/28,2021/6/30
46,A08264O,AntivirusAndEmailFiltering05,590,CSE0000005,11910916,2021/7/5,2021/6/11
47,O8C6513,OfficeSoftware20,380,CSE0000005,11611210,2021/6/1,2021/7/20
48,S7K6834,ScreenSplitterA3,420,CSE0000005,11610329,2021/7/8,2021/7/18
49,L47869Q,LightningProtectionProducts26,970,CSE0000005,11510416,2021/7/7,2021/6/6
50,AE80564,AirPurifierV6,960,CSE0000005,11211510,2021/6/3,2021/7/2
51,L92148E,LargeFormatPrinterT5,640,CSE0000005,11611627,2021/6/21,2021/7/2
52,C02614Q,Cpu38,320,CSE0000005,11910210,2021/6/13,2021/6/27
53,A392R56,AntivirusSoftwareP9,920,CSE0000005,12111307,2021/7/5,2021/7/12
54,B830R57,BarcodeAndCardReadingEquipment27,110,CSE0000005,11411314,2021/6/17,2021/7/16
55,OP18549,OpticalTransceiver40,900,CSE0000006,11611227,2015/4/13,2015/3/31
56,F8E7125,FaxMachineCopierD4,670,CSE0000006,11911804,2015/3/15,2015/4/9
57,R243J08,RemoteControl83,540,CSE0000007,12111613,2010/10/23,2010/9/23
58,T67P542,TvBase65,580,CSE0000008,11511523,2000/11/17,2000/11/24
59,L0528N6,LaminatorMoDriveH2,520,CSE0000008,11510013,2000/11/27,2000/11/23
60,A273M51,Anti-SlipMobilePhone26,30,CSE0000009,12211518,2003/6/7,2003/5/28
61,T67P542,TvBase30,270,CSE0000009,11210008,2003/5/14,2003/6/28
62,YS95071,Yuba80,240,CSE0000009,11612609,2003/6/15,2003/5/22
63,M328K91,MonitorB2,30,CSE0000009,11510326,2003/5/31,2003/5/2
64,HI14706,HotelEntertainment81,150,CSE0000009,11710803,2003/6/13,2003/6/25
65,A37260X,Anti-TheftAlarmHostN4,530,CSE0000009,11612301,2003/5/17,2003/5/2
66,C48967S,Charger07,240,CSE0000009,11611811,2003/5/30,2003/6/10
67,M97X845,MobilePower20,750,CSE0000009,11510305,2003/5/3,2003/5/19
68,E7R6098,E-BookF8,480,CSE0000009,11810112,2003/5/24,2003/5/20
69,O032T69,OnlineTelephoneO8,160,CSE0000009,11511922,2003/5/5,2003/5/25
70,DR28405,DatabaseSoftwareO6,860,CSE0000009,11710512,2003/5/25,2003/6/22
71,F76983D,FlashAccessories41,610,CSE0000010,11712202,2013/5/18,2013/6/28
72,R5F0782,RouterB5,960,CSE0000011,11512408,2018/1/6,2018/1/7
73,MM72065,MultiplexerL3,220,CSE0000011,11812006,2017/12/12,2018/1/7
74,DT47956,DvdPlayer89,480,CSE0000011,11611101,2017/12/14,2018/1/26
75,M713N46,MicroscopeU0,350,CSE0000011,11112918,2018/1/1,2018/2/3
76,D0Q2543,DesktopPc78,600,CSE0000011,11710029,2017/12/28,2018/2/5
77,P8130N9,PrinterH8,930,CSE0000011,12011319,2018/1/12,2018/2/6
78,P7604Q5,Pbx05,850,CSE0000011,11112316,2018/1/28,2018/1/26
79,T28310Y,TvHanger69,560,CSE0000011,12212006,2018/1/22,2018/2/7
80,WJ50817,WirelessAccessPointY0,130,CSE0000012,11512118,2021/1/30,2021/2/20
81,D50A198,DigitalCameraS4,380,CSE0000012,11411901,2021/1/12,2021/2/15
82,C96H382,ClusterH8,350,CSE0000012,12212215,2021/2/24,2021/2/27
83,G21467A,GpsI3,970,CSE0000012,12112001,2021/2/14,2021/3/1
84,RC12709,ReceiptPrinter06,640,CSE0000012,11412713,2021/2/23,2021/2/25
85,T7E2913,TollMachine89,210,CSE0000012,11510427,2021/1/25,2021/2/26
86,MR46392,MobilePhone49,510,CSE0000012,12112001,2021/2/13,2021/2/28
87,H8713D4,HardDiskRecordingT5,280,CSE0000012,12110203,2021/2/16,2021/1/12
88,C681E75,CellPhoneBattery21,20,CSE0000012,11610318,2021/3/2,2021/2/27
89,I291Q38,IsbnPrinterA3,330,CSE0000012,12211226,2021/3/6,2021/2/1
90,TU23769,Telescope92,10,CSE0000012,12212215,2021/3/7,2021/1/30
91,S2180L4,SerialCommunicationServer74,180,CSE0000012,11211217,2021/1/21,2021/2/15
92,A794O23,AdapterRing70,760,CSE0000012,11611819,2021/3/12,2021/2/8
93,O853L07,OtherAccessoriesQ9,910,CSE0000012,12110421,2021/1/30,2021/2/20
94,LR91308,LaminatingMachineC3,60,CSE0000012,11412900,2021/1/14,2021/2/12
95,H4239U1,HandwritingInputE9,100,CSE0000012,12112122,2021/1/24,2021/2/5
96,T9T8140,ToasterElectricOvenB8,230,CSE0000012,11710914,2021/2/22,2021/1/27
97,S86042Z,SecurityCameraY2,600,CSE0000012,11212711,2021/2/8,2021/2/28
98,MR46392,MobilePhone56,870,CSE0000013,11610803,2022/1/20,2022/2/3
99,D230D47,DishwasherM7,220,CSE0000014,11211610,2005/7/3,2005/6/22
100,A50L172,Air-ConditioningFan79,440,CSE0000015,11412106,2015/4/19,2015/5/19
101,G053V91,GameLightGunGamePeripheralL5,490,CSE0000015,11712016,2015/4/25,2015/4/18
102,C48967S,Charger07,480,CSE0000015,11811304,2015/4/28,2015/4/29
103,C6C1543,ColorManagementX0,480,CSE0000015,11710012,2015/4/29,2015/5/23
104,RC12709,ReceiptPrinter76,30,CSE0000015,12010008,2015/5/16,2015/3/26
105,GC81302,GasWaterHeaterB3,910,CSE0000015,11810206,2015/5/20,2015/4/6
106,H239M48,HardDisk51,1000,CSE0000015,11310620,2015/4/24,2015/4/23
107,N89L425,NetworkCardZ5,470,CSE0000015,11512413,2015/4/24,2015/5/13
108,CY08734,CursorMarkingMachineZ7,230,CSE0000015,11812826,2015/5/9,2015/4/27
109,H8713D4,HardDiskRecordingT5,990,CSE0000015,11912215,2015/4/8,2015/4/6
110,L15649H,LinePrinterX7,530,CSE0000015,11910723,2015/4/15,2015/5/4
111,M6328D7,Mouse12,340,CSE0000015,11610317,2015/4/30,2015/4/6
112,LR91308,LaminatingMachineE3,500,CSE0000015,12211326,2015/5/8,2015/4/27
113,I072X68,IndustrialNetworkSwitchR2,10,CSE0000015,11610101,2015/5/22,2015/4/17
114,A37260X,Anti-TheftAlarmHost23,870,CSE0000015,11412820,2015/4/18,2015/5/22
115,P3650F7,PrecisionAirConditionerG9,490,CSE0000015,11910723,2015/5/20,2015/4/20
116,VM86749,ViewfinderL1,560,CSE0000015,11712019,2015/5/9,2015/5/14
117,D0W8356,DigitalMobileTvZ2,610,CSE0000015,11211219,2015/4/5,2015/5/12
118,W49310P,WirelessNetworkCardK0,310,CSE0000015,12012820,2015/5/9,2015/5/24
119,E738Y40,ElectricToothbrushX5,870,CSE0000016,11111510,2013/11/24,2013/10/30
120,PY35974,PrintMedia70,480,CSE0000016,12011723,2013/12/3,2013/12/17
121,C98142A,CameraRemoteO4,610,CSE0000016,12010225,2013/12/1,2013/11/8
122,WJ50817,WirelessAccessPointY0,750,CSE0000016,11212524,2013/10/27,2013/12/21
123,M328K91,MonitorF1,410,CSE0000016,11412311,2013/10/30,2013/11/26
124,L8N0649,Laptop78,310,CSE0000016,12111613,2013/12/22,2013/12/2
125,MM72065,MultiplexerL4,650,CSE0000016,11911112,2013/12/19,2013/12/15
126,L504L71,LaptopPowerAdapterD3,340,CSE0000016,11911112,2013/12/10,2013/11/24
127,C46258Y,CleaningAndMaintenanceD0,300,CSE0000016,11711514,2013/10/31,2013/11/4
128,P41857Y,PhysicalSecurityIsolationN5,970,CSE0000016,11410502,2013/11/12,2013/11/8
129,L0X9362,LaserPrinterT5,610,CSE0000016,11412623,2013/11/24,2013/12/9
130,F6L2495,FlashCardG3,140,CSE0000016,11611819,2013/12/11,2013/12/16
